OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc6_305918,P,0.072,0.356,0.104,0.0,1
lmc_sc6_306037,P,0.077,0.595,0.052,0.0,1
lmc_sc6_313759,E,0.642,0.993,0.518,14.4,2
lmc_sc6_313782,P,0.732,1.0,0.259,0.0,1
lmc_sc6_313887,P,0.143,0.928,0.311,0.0,1
lmc_sc6_314022,P,0.401,0.77,0.725,0.0,1
lmc_sc6_322383,P,0.455,1.0,0.725,0.0,1
lmc_sc6_322390,P,0.377,0.969,1.708,0.0,1
lmc_sc6_322474,P,0.054,0.926,0.052,0.0,1
lmc_sc6_363443,P,0.827,1.0,0.403,0.0,1
lmc_sc6_384484,P,0.074,0.625,0.104,0.0,1
lmc_sc6_390492,P,0.427,1.0,0.518,0.0,1
lmc_sc6_391186,P,0.096,0.656,0.045,0.0,1
lmc_sc6_397698,P,0.679,1.0,0.362,0.0,1
lmc_sc6_404641,P,0.547,0.993,0.958,0.0,1
lmc_sc6_405104,P,0.12,0.718,0.045,0.0,1
lmc_sc6_405411,P,0.96,1.0,0.052,0.0,1
lmc_sc6_40914,P,0.506,1.0,0.621,0.0,1
lmc_sc6_40956,P,0.456,1.0,1.035,0.0,1
lmc_sc6_41192,E,0.338,0.963,0.311,0.0,1
lmc_sc6_413387,P,0.469,0.92,0.88,0.0,1
lmc_sc6_423230,P,0.188,0.868,0.045,0.0,1
lmc_sc6_431532,P,0.548,1.0,0.358,0.0,1
lmc_sc6_431549,P,0.39,0.935,0.466,18.2,3
lmc_sc6_431586,P,0.592,0.914,0.518,0.0,1
lmc_sc6_431773,P,0.379,0.952,0.493,0.0,1
lmc_sc6_431831,P,0.699,1.0,0.362,0.0,1
lmc_sc6_432053,P,0.122,0.342,0.134,0.0,1
lmc_sc6_440350,P,0.232,0.95,0.896,0.0,1
lmc_sc6_44171,P,0.038,0.887,0.045,3.7,3
lmc_sc6_462707,P,0.105,0.899,0.045,0.0,1
lmc_sc6_469287,P,0.954,1.0,0.104,0.0,1
lmc_sc6_57487,P,0.668,0.998,0.362,15.6,3
lmc_sc6_57741,P,0.565,0.991,0.828,10.5,2
lmc_sc6_57771,P,0.374,0.997,1.19,0.0,1
lmc_sc6_5808,P,0.51,1.0,1.398,0.0,1
lmc_sc6_66600,P,0.69,1.0,0.311,0.0,1
lmc_sc6_66743,P,0.799,1.0,0.224,0.0,1
lmc_sc6_66758,P,0.08,0.729,0.362,0.0,1
lmc_sc6_66811,P,0.473,0.955,1.613,0.0,1
lmc_sc6_75944,P,0.313,0.951,0.569,17.7,3
lmc_sc6_85034,P,0.688,0.998,0.569,0.0,1
lmc_sc6_85043,P,0.696,1.0,0.88,15.1,2
lmc_sc6_86216,P,0.048,0.186,0.104,0.0,1
lmc_sc6_93892,P,0.823,1.0,0.207,0.0,1
lmc_sc7_101447,P,0.49,1.0,0.311,0.0,1
lmc_sc7_107999,P,0.617,1.0,0.621,0.0,1
lmc_sc7_126885,P,0.362,0.711,0.518,0.0,1
lmc_sc7_126908,P,0.523,1.0,0.207,0.0,1
lmc_sc7_134342,E,0.55,1.0,0.311,0.0,1
lmc_sc7_134493,P,0.578,1.0,0.371,0.0,1
lmc_sc7_134549,P,0.464,0.756,0.104,0.0,1
lmc_sc7_14174,P,0.304,0.521,0.259,0.0,1
lmc_sc7_142143,P,0.706,1.0,0.466,0.0,1
